---NASA PVT+ V1.5.6-B2626 SINGLE TRIAL PVT DATA---
STUDY NAME:,OfficialPPGSleep
STUDY GROUP:,KarlenDay1
SUBJECT ID:,Karlen3
TRIAL:,1
TRIAL DATE TIME:,07-25-2025 18:50
HANDEDNESS:,RIGHT
IOS DEVICE:,iPhone14,7
IOS VERSION:,18.5
LATENCY OFFSET:, SEE DOCUMENTATION
PVT LENGTH (SEC):,600
PVT TIMEOUT (SEC):,10
TIMEOUT AUDIO ALARM:,FALSE
TIMEOUT HAPTIC ALARM:,FALSE
---DATA---
Reaction Time(ms),Elapsed Times(sec)
350,7.20
347,14.17
520,22.65
372,31.76
367,38.48
335,47.77
316,55.28
459,57.86
403,64.74
423,67.94
382,76.56
317,82.95
316,90.09
378,92.79
404,97.09
287,103.22
516,105.70
290,113.83
456,121.78
298,128.76
381,136.88
441,139.60
340,145.32
324,151.30
356,154.67
FS,157.87
323,166.54
358,172.96
371,175.48
377,181.50
462,186.61
362,193.20
341,202.42
357,209.08
361,216.92
675,220.54
457,223.31
323,233.31
352,240.63
338,245.94
335,254.11
345,259.60
311,266.30
317,274.41
347,282.67
543,285.20
362,289.69
381,298.15
434,303.43
499,306.08
325,309.94
332,313.92
428,323.98
435,326.71
337,331.82
270,339.87
542,343.63
392,346.15
315,352.68
346,356.54
277,362.53
284,371.65
311,379.24
326,387.96
349,392.17
343,401.64
447,404.21
282,408.11
292,414.27
341,418.07
328,423.79
341,428.36
331,433.33
277,437.19
291,443.83
407,453.13
310,460.06
363,465.85
322,472.75
454,478.27
294,487.60
395,493.74
320,502.01
339,506.80
314,509.96
387,518.11
361,525.25
489,528.64
414,535.75
479,539.89
322,548.83
304,558.91
485,561.72
389,567.75
452,576.89
358,583.71
405,591.29
276,595.78
380,605.37
