---NASA PVT+ V1.5.6-B2626 SINGLE TRIAL PVT DATA---
STUDY NAME:,OfficialPPGSleep
STUDY GROUP:,Karlenner
SUBJECT ID:,Karlencho7
TRIAL:,1
TRIAL DATE TIME:,08-23-2025 01:18
HANDEDNESS:,RIGHT
IOS DEVICE:,iPhone14,7
IOS VERSION:,18.5
LATENCY OFFSET:, SEE DOCUMENTATION
PVT LENGTH (SEC):,600
PVT TIMEOUT (SEC):,10
TIMEOUT AUDIO ALARM:,FALSE
TIMEOUT HAPTIC ALARM:,FALSE
---DATA---
Reaction Time(ms),Elapsed Times(sec)
349,5.68
298,11.15
295,20.28
385,25.46
297,35.10
280,42.96
297,50.06
335,53.81
266,59.77
FS,65.45
366,70.19
314,75.76
400,81.05
393,90.34
392,95.39
307,103.58
297,109.76
311,119.79
362,127.25
391,132.51
350,140.32
329,146.92
344,152.99
297,161.18
308,168.32
335,174.21
257,183.04
362,186.86
382,190.73
314,197.87
311,207.53
391,215.98
382,223.30
336,232.81
318,238.34
349,246.57
333,255.70
583,258.25
312,265.36
435,269.34
309,276.66
337,285.29
331,294.41
442,297.80
380,300.35
427,302.90
357,309.56
390,312.09
328,315.51
331,322.17
423,324.82
362,331.67
420,334.52
344,339.39
416,343.50
369,352.96
389,358.56
359,363.51
322,371.74
566,374.25
358,380.36
331,390.04
357,393.67
373,398.51
302,406.36
300,415.26
361,424.80
488,429.63
484,435.11
355,440.61
322,447.49
332,454.89
335,458.90
389,462.35
312,472.15
300,479.86
312,483.46
353,485.99
321,495.04
366,500.99
321,507.25
342,510.06
397,512.68
355,516.78
291,526.11
288,535.63
537,544.93
362,553.18
351,561.63
321,568.36
307,577.37
284,586.52
343,592.25
312,595.82
311,602.72
