---NASA PVT+ V1.5.6-B2626 SINGLE TRIAL PVT DATA---
STUDY NAME:,OfficialPPGSleep
STUDY GROUP:,Karlenner
SUBJECT ID:,Karlencho3
TRIAL:,1
TRIAL DATE TIME:,08-22-2025 18:32
HANDEDNESS:,RIGHT
IOS DEVICE:,iPhone14,7
IOS VERSION:,18.5
LATENCY OFFSET:, SEE DOCUMENTATION
PVT LENGTH (SEC):,600
PVT TIMEOUT (SEC):,10
TIMEOUT AUDIO ALARM:,FALSE
TIMEOUT HAPTIC ALARM:,FALSE
---DATA---
Reaction Time(ms),Elapsed Times(sec)
306,7.57
338,11.39
333,14.68
368,16.91
306,23.90
303,32.39
325,39.46
458,42.18
262,48.04
353,56.96
293,63.93
367,73.05
277,79.39
336,89.24
386,91.56
273,97.80
292,103.99
277,110.12
274,118.98
400,122.75
335,132.57
402,134.82
391,137.02
FS,140.49
342,148.67
379,153.37
289,160.96
365,163.49
303,167.43
257,172.77
290,178.97
263,187.44
338,196.75
361,200.40
441,202.67
315,209.83
277,216.53
319,220.60
291,226.12
335,228.64
316,237.00
300,242.40
294,249.48
332,257.55
294,266.94
281,274.17
307,280.32
310,285.19
352,288.11
321,295.26
316,301.35
291,309.22
367,314.93
341,320.12
319,323.50
278,332.79
276,339.39
282,347.50
294,351.78
304,355.99
293,364.14
363,367.33
499,369.78
279,378.15
334,384.03
319,393.15
257,401.26
344,405.07
FS,413.60
360,419.63
347,428.09
333,436.98
349,442.52
388,450.98
326,456.51
446,465.90
292,473.36
431,475.76
301,485.15
277,492.05
299,499.67
353,506.54
331,514.51
427,517.10
293,521.37
288,530.09
328,539.33
359,546.69
340,553.35
395,558.05
492,565.80
371,571.27
308,577.17
289,585.67
331,588.36
418,590.66
302,598.18
302,602.43
