---NASA PVT+ V1.5.6-B2626 SINGLE TRIAL PVT DATA---
STUDY NAME:,OfficialPPGSleep
STUDY GROUP:,Karlenner
SUBJECT ID:,Karlencho5
TRIAL:,1
TRIAL DATE TIME:,08-22-2025 21:41
HANDEDNESS:,RIGHT
IOS DEVICE:,iPhone14,7
IOS VERSION:,18.5
LATENCY OFFSET:, SEE DOCUMENTATION
PVT LENGTH (SEC):,600
PVT TIMEOUT (SEC):,10
TIMEOUT AUDIO ALARM:,FALSE
TIMEOUT HAPTIC ALARM:,FALSE
---DATA---
Reaction Time(ms),Elapsed Times(sec)
361,3.10
318,5.39
278,9.94
335,19.73
288,24.57
272,30.52
313,39.99
352,49.78
535,52.19
376,56.31
331,62.70
370,65.51
313,68.78
314,72.62
338,75.09
323,82.05
322,84.78
325,94.63
388,97.25
369,100.81
323,103.78
336,112.83
307,116.75
345,124.84
336,129.98
345,132.23
329,138.66
343,142.14
362,151.30
364,156.79
292,165.37
367,174.98
296,180.55
383,185.70
299,194.41
351,196.99
311,200.62
306,206.82
304,213.91
456,217.59
324,225.96
317,232.91
FS,237.88
314,246.46
279,255.85
315,264.36
348,269.25
295,275.18
272,283.74
323,290.54
350,295.70
286,299.68
266,307.11
303,312.27
283,319.88
324,323.83
272,330.96
301,336.11
313,346.06
286,353.73
356,357.04
368,366.36
415,373.14
FS,373.29
324,378.13
367,382.16
306,390.02
369,394.79
320,398.72
316,404.42
347,410.33
365,420.49
495,425.80
335,434.01
408,443.69
423,446.04
497,452.75
505,455.23
365,462.39
402,466.31
305,471.83
295,475.43
304,481.46
366,485.51
289,492.75
328,497.86
324,501.51
381,504.39
377,508.20
322,510.81
363,516.19
521,520.37
312,527.14
431,529.45
331,533.63
377,535.96
437,544.31
406,552.51
344,559.45
373,562.04
318,565.38
317,568.90
349,575.19
423,582.61
324,591.70
294,598.04
338,605.74
