---NASA PVT+ V1.5.6-B2626 SINGLE TRIAL PVT DATA---
STUDY NAME:,OfficialPPGSleep
STUDY GROUP:,Karlenner
SUBJECT ID:,Karlencho1
TRIAL:,1
TRIAL DATE TIME:,08-22-2025 15:33
HANDEDNESS:,RIGHT
IOS DEVICE:,iPhone14,7
IOS VERSION:,18.5
LATENCY OFFSET:, SEE DOCUMENTATION
PVT LENGTH (SEC):,600
PVT TIMEOUT (SEC):,10
TIMEOUT AUDIO ALARM:,FALSE
TIMEOUT HAPTIC ALARM:,FALSE
---DATA---
Reaction Time(ms),Elapsed Times(sec)
453,2.41
310,8.52
307,12.91
298,17.18
315,26.36
411,28.75
310,36.39
319,41.11
296,50.96
300,56.49
310,64.97
262,74.22
306,82.29
385,85.44
362,88.54
311,98.20
314,105.20
298,110.35
319,113.39
312,121.71
338,127.38
330,133.35
291,139.44
405,144.23
323,148.13
310,153.50
371,156.47
324,165.09
308,169.65
295,176.72
352,180.44
410,184.93
291,193.35
313,196.47
292,202.36
293,209.93
303,219.99
353,225.16
316,228.41
278,231.93
364,236.29
305,242.71
311,246.18
297,255.72
290,262.59
332,269.82
321,273.57
306,280.57
321,285.14
344,289.16
299,298.52
434,302.41
345,308.16
448,311.65
306,315.85
317,322.49
372,325.41
436,333.56
326,340.24
390,347.56
322,353.16
FS,355.53
FS,355.94
FS,356.03
296,366.00
502,374.36
343,376.97
395,381.89
274,390.71
374,392.95
299,396.08
278,405.51
322,408.66
313,412.78
318,421.02
337,430.12
338,440.13
334,444.50
358,449.40
320,455.62
435,458.98
301,468.08
313,475.38
347,484.54
314,494.54
339,501.47
322,506.08
332,515.49
305,525.41
310,532.40
371,534.92
369,539.55
299,542.62
275,551.36
311,558.12
272,565.02
374,567.51
326,577.41
349,584.27
319,591.25
299,599.47
308,606.92
