---NASA PVT+ V1.5.6-B2626 SINGLE TRIAL PVT DATA---
STUDY NAME:,OfficialPPGSleep
STUDY GROUP:,Karlenner
SUBJECT ID:,Karlencho2
TRIAL:,1
TRIAL DATE TIME:,08-22-2025 17:05
HANDEDNESS:,RIGHT
IOS DEVICE:,iPhone14,7
IOS VERSION:,18.5
LATENCY OFFSET:, SEE DOCUMENTATION
PVT LENGTH (SEC):,600
PVT TIMEOUT (SEC):,10
TIMEOUT AUDIO ALARM:,FALSE
TIMEOUT HAPTIC ALARM:,FALSE
---DATA---
Reaction Time(ms),Elapsed Times(sec)
296,6.00
293,11.56
FS,14.39
300,17.94
345,22.78
284,28.27
333,31.05
274,35.72
267,43.59
FS,47.99
310,57.08
340,61.43
291,68.81
317,75.74
390,78.86
315,85.48
256,93.50
302,102.91
380,106.81
296,113.45
309,121.57
371,125.41
338,133.69
308,140.73
293,147.03
310,152.32
355,155.03
301,160.57
294,165.24
342,167.86
454,170.61
348,173.99
289,183.73
277,192.53
336,199.59
274,205.81
318,211.44
311,218.19
FS,221.10
FS,221.48
264,226.25
318,231.31
272,239.44
297,246.62
323,252.62
309,255.39
311,262.89
274,270.63
271,276.61
332,282.40
322,291.97
333,299.75
255,307.06
284,316.42
426,320.72
380,328.66
296,338.01
312,342.46
303,346.26
FS,350.20
308,355.71
335,360.68
314,367.70
414,370.11
301,378.66
293,383.51
280,390.53
290,396.86
560,401.28
324,407.82
317,415.34
280,421.43
FS,428.45
350,431.89
325,438.73
281,445.92
307,451.45
FS,455.67
355,460.64
311,467.76
529,470.96
282,477.65
386,480.37
340,488.27
306,494.64
301,502.24
334,507.57
364,512.17
302,517.11
306,523.73
391,530.03
296,536.78
335,543.62
323,553.49
392,556.89
355,560.41
330,567.76
349,573.20
350,577.38
434,579.80
292,583.02
288,585.57
301,589.93
298,597.10
363,606.92
